id,State_Name,Mean,Median,Stdev,sum_w
60218489,California,36924,26768,30423,485.5888748
6021849,California,51769,35373,53858,650.0684349
60218499,California,18904,12516,17321,281.6467109
60218509,California,54495,42798,48414,361.622135
60218519,California,59484,45240,42567,497.2150974
60218529,California,40613,33481,31724,300.1185472
60218539,California,112426,98490,68763,151.2224063
60218549,California,80754,300000,53004,98.56246351
60218559,California,80377,300000,50793,266.3835387
60218569,California,57221,45477,48102,631.8653033
60218579,California,37606,30398,29741,265.4570808
60218589,California,50828,300000,22480,135.9624061
6021859,California,39524,31324,33767,901.5351661
60218599,California,86755,79351,56555,255.7863522
60218609,California,52349,37489,41588,422.8853536
60218619,California,50156,40931,35889,258.5900892
60218629,California,72426,300000,39925,272.2174624
60218639,California,65292,53949,47000,573.3772668
60218649,California,132555,110955,80992,251.2491685
60218659,California,73412,78216,34256,208.1509113
60218669,California,48881,46011,26904,218.1595808
60218679,California,55582,52245,35203,149.3928957
60218689,California,103464,81869,80585,446.2740522
6021869,California,40000,25771,36541,752.4271135
60218699,California,114133,111009,74144,121.3893688
60218709,California,92018,63922,79341,164.5261799
60218719,California,54390,38489,50629,280.4179268
60218729,California,54600,52253,42589,191.1881098
60218739,California,35070,20035,37384,330.4907662
60218749,California,83232,65367,56695,180.3237088
60218759,California,71651,60335,50939,512.5809863
60218769,California,54805,45581,41072,451.1168965
60218779,California,76530,300000,37769,198.188178
60218789,California,43320,45962,36548,298.1879793
6021879,California,40750,33083,30538,547.3825575
60218799,California,110746,300000,71455,207.4868537
60218809,California,84259,300000,66267,157.1926463
60218819,California,116112,104307,70597,273.1142364
60218829,California,79141,60583,64011,446.5147365
60218839,California,53898,51814,34508,299.7863735
60218849,California,109285,300000,65821,269.3833287
60218859,California,100464,68313,80091,322.2855914
60218869,California,121131,300000,85908,50.59778748
60218879,California,79252,66968,49031,183.9552592
60218889,California,88175,300000,74011,156.2606628
6021889,California,34262,27218,28016,765.3028977
60218899,California,75233,300000,49818,108.6954497
602189,California,72350,60725,47355,818.333515
60218909,California,77811,62062,53979,209.3549884
60218919,California,77092,54433,61597,464.5515954
60218929,California,50223,38956,41570,317.6255973
60218939,California,62423,46989,51315,470.5875533
60218949,California,84697,73012,57239,472.9408907
60218959,California,102381,300000,60666,319.1490626
60218969,California,80902,72539,45409,191.3212402
60218979,California,55598,54814,32303,284.4184133
60218989,California,76343,77420,39260,281.0365906
6021899,California,31659,23406,31153,981.7718334
60218999,California,111327,105808,68168,191.3220754
60219,California,55769,39174,53094,590.747398
60219009,California,69752,64980,50794,237.2550647
60219019,California,57151,41376,51012,465.8167639
60219029,California,128201,300000,75641,170.3220269
60219039,California,79683,300000,57517,140.7950025
60219049,California,79626,68605,61196,207.4221015
60219059,California,41985,300000,25208,396.9257123
60219069,California,46949,39290,30353,201.9271926
60219079,California,94853,92860,52122,129.0907432
60219089,California,79796,300000,54844,108.5952015
6021909,California,37095,26728,31316,634.0511601
60219099,California,65977,300000,36852,164.9236123
60219109,California,77350,300000,46302,205.6891381
60219119,California,118643,300000,69504,134.7889081
60219129,California,109073,90815,73126,115.5579013
60219139,California,118368,300000,65706,85.2266346
60219149,California,46109,28108,54427,283.9541093
60219159,California,93453,77509,81063,217.5546515
60219169,California,92809,76462,59403,470.260864
60219179,California,112709,300000,45499,56.6613351
60219189,California,127371,121434,62213,288.8666756
6021919,California,62073,45472,56940,667.5665899
60219199,California,122484,300000,61753,132.0532544
60219209,California,105938,300000,67176,126.1570034
60219219,California,112291,99655,69506,186.2186039
60219229,California,114969,100342,71258,106.5541026
60219239,California,165411,300000,68497,73.52589046
60219249,California,0,0,0,0
60219259,California,93837,300000,66550,216.1918096
60219269,California,105999,102257,65245,213.4502644
60219279,California,154769,164449,85245,671.8853414
60219289,California,118087,300000,54975,118.7898614
6021929,California,50264,35560,44373,615.6404585
60219299,California,181956,200345,74052,175.4137023
60219309,California,167360,300000,67203,42.49347087
60219319,California,97739,300000,49431,124.1554801
60219329,California,156168,300000,78249,64.19336957
60219339,California,146567,137752,85808,132.7550086
60219349,California,68757,55212,56896,258.6206626
60219359,California,78828,77361,47948,244.8506945
60219369,California,120884,104596,80814,385.5343563
60219379,California,144747,134608,85079,357.2717719
60219389,California,57821,45944,45981,621.0049201
6021939,California,39089,33994,28509,699.5367739
60219399,California,143089,146387,76058,95.69099198
60219409,California,91856,98556,71363,172.3547115
60219419,California,59576,35130,51912,426.2515905
60219429,California,94997,76631,66374,351.7133629
60219439,California,73860,300000,56234,162.1948138
60219449,California,69801,28398,82631,428.8844537
60219459,California,93402,77064,75089,244.7876408
60219469,California,72942,68064,51554,266.2851703
60219479,California,143765,150477,89166,225.9130693
60219489,California,130614,126835,74818,147.1510361
6021949,California,49799,37148,40758,857.258454
60219499,California,119565,104766,80736,384.5058182
60219509,California,141407,300000,61238,97.65538446
60219519,California,79054,300000,74215,235.1621105
60219529,California,119030,112397,63934,121.6549685
